Time,Num c bots
19273.88353,0.019765906
19273.88365,0.019828237
19273.88389,0.019765906
19273.88429,0.019828237
19273.88433,0.019738366
19273.88435,0.019665223
19273.88439,0.019595221
19273.88447,0.019581566
19273.88455,0.019536665
19273.88461,0.019562962
19273.88464,0.019622103
19273.88469,0.019687624
19273.8847,0.019765248
19273.8848,0.019806912
19273.88498,0.019765248
19273.88518,0.019889746
19273.88519,0.019847918
19273.88523,0.020015231
19273.88543,0.020015231
19273.88574,0.020015231
19273.88574,0.020015231
19273.88603,0.020015231
19273.88608,0.020015231
19273.88614,0.019922942
19273.88634,0.019830654
19273.88654,0
Time,Avg attr poison h
19273.88252,-0.001044561
19273.88252,-0.000320496
19273.88252,2.59E-05
19273.88252,-0.000278268
19273.88252,-9.92E-05
19273.88252,-0.000107867
19273.88252,2.09E-05
19273.88252,-0.00011417
19273.88252,-0.000130187
19273.88252,-9.19E-05
19273.88254,-8.53E-05
19273.88259,-6.37E-05
19273.8826,7.64E-05
19273.88264,0.000117324
19273.88265,9.80E-05
19273.88265,-1.79E-05
19273.88266,-0.000165203
19273.88273,-0.000208109
19273.88285,-0.000120726
19273.88286,-0.000158465
19273.88286,-1.10E-05
19273.88287,0.000163743
19273.88293,0.000115778
19273.88302,-9.53E-06
19273.88306,-0.000147235
19273.88313,-0.000216086
19273.88322,-0.000257396
19273.88323,-0.000422637
19273.88343,-0.000422637
19273.88349,-0.000422637
19273.88353,-0.000422637
19273.88365,-0.000422637
19273.88389,-0.000422637
19273.88429,-0.000494037
19273.88433,-0.000479757
19273.88435,-0.000470237
19273.88439,-0.000479757
19273.88447,-0.000470237
19273.88455,-0.000506872
19273.88461,-0.000520911
19273.88464,-0.000540566
19273.88469,-0.000568511
19273.8847,-0.000597686
19273.8848,-0.000616111
19273.88498,-0.000597686
19273.88518,-0.000565436
19273.88519,-0.000517836
19273.88523,-0.000565436
19273.88543,-0.000422637
19273.88574,-0.000422637
19273.88574,-0.000422637
19273.88603,-0.000422637
19273.88608,-0.000422637
19273.88614,-0.000422637
19273.88634,-0.000422637
19273.88654,0
Time,Avg perception food c
19273.88252,119.8824894
19273.88252,99.31709193
19273.88252,97.65393609
19273.88252,97.48572747
19273.88276,103.7304052
19273.88277,101.37971
19273.88279,95.21211681
19273.88285,94.3276244
19273.88291,94.3276244
19273.88306,0
Time,Avg perception food h
19273.88252,120.6012582
19273.88252,115.9606634
19273.88252,106.9867064
19273.88252,102.4128194
19273.88252,102.7768588
19273.88252,104.7717436
19273.88252,107.0765725
19273.88252,105.9289194
19273.88252,105.0869961
19273.88252,102.9677688
19273.88254,101.6590579
19273.88259,102.0724889
19273.8826,99.42552179
19273.88264,100.9123401
19273.88265,103.3434284
19273.88265,100.4164087
19273.88266,102.691932
19273.88273,98.42011808
19273.88285,100.2629681
19273.88286,97.3627282
19273.88286,98.60152389
19273.88287,98.7192199
19273.88293,96.19905017
19273.88302,94.19055856
19273.88306,88.4807219
19273.88313,85.62580356
19273.88322,83.91285256
19273.88323,77.06104857
19273.88343,77.06104857
19273.88349,77.06104857
19273.88353,77.06104857
19273.88365,77.06104857
19273.88389,77.06104857
19273.88429,77.06104857
19273.88433,77.06104857
19273.88435,77.06104857
19273.88439,77.06104857
19273.88447,77.06104857
19273.88455,77.06104857
19273.88461,77.06104857
19273.88464,77.06104857
19273.88469,77.06104857
19273.8847,77.06104857
19273.8848,77.06104857
19273.88498,77.06104857
19273.88518,77.06104857
19273.88519,77.06104857
19273.88523,77.06104857
19273.88543,77.06104857
19273.88574,76.11751307
19273.88574,75.17397758
19273.88603,75.17397758
19273.88608,75.17397758
19273.88614,75.17397758
19273.88634,75.17397758
19273.88654,0
Time,Avg perception poison h
19273.88252,104.3200572
19273.88252,107.9903195
19273.88252,104.4863502
19273.88252,101.2783931
19273.88252,105.4443671
19273.88252,108.9025711
19273.88252,109.5115952
19273.88252,105.6023956
19273.88252,107.7154106
19273.88252,108.3728945
19273.88254,106.392817
19273.88259,104.1144779
19273.8826,104.0851094
19273.88264,105.0320434
19273.88265,103.7094426
19273.88265,102.1333931
19273.88266,103.0643894
19273.88273,98.92665759
19273.88285,100.7457896
19273.88286,95.68934867
19273.88286,96.2657525
19273.88287,99.27037814
19273.88293,96.79233742
19273.88302,90.46335605
19273.88306,83.39761415
19273.88313,77.62177612
19273.88322,74.15627331
19273.88323,64.7801962
19273.88343,66.27550758
19273.88349,69.26613035
19273.88353,72.25675311
19273.88365,73.7520645
19273.88389,72.25675311
19273.88429,67.51779676
19273.88433,66.07308982
19273.88435,65.10995186
19273.88439,62.4843425
19273.88447,65.10995186
19273.88455,64.42199617
19273.88461,65.10995186
19273.88464,66.07308982
19273.88469,63.94439613
19273.8847,64.67442295
19273.8848,62.77884041
19273.88498,64.67442295
19273.88518,65.76946318
19273.88519,69.92564167
19273.88523,65.76946318
19273.88543,78.23799865
19273.88574,78.23799865
19273.88574,78.23799865
19273.88603,78.31180877
19273.88608,78.38561889
19273.88614,78.38561889
19273.88634,78.38561889
19273.88654,0
Time,Avg repr rate c
19273.88252,0.000257248
19273.88252,0.00025833
19273.88252,0.000254249
19273.88252,0.000251155
19273.88276,0.000248403
19273.88277,0.000247824
19273.88279,0.000244682
19273.88285,0.000246086
19273.88291,0.000246086
19273.88306,0
Time,Avg repr rate h
19273.88252,0.000243195
19273.88252,0.000241974
19273.88252,0.000247884
19273.88252,0.000246613
19273.88252,0.000246235
19273.88252,0.000246097
19273.88252,0.000245913
19273.88252,0.0002471
19273.88252,0.000247819
19273.88252,0.000247461
19273.88254,0.000247689
19273.88259,0.000246954
19273.8826,0.00024749
19273.88264,0.000246648
19273.88265,0.000246992
19273.88265,0.000247356
19273.88266,0.000244886
19273.88273,0.000246639
19273.88285,0.000245798
19273.88286,0.000246999
19273.88286,0.000247599
19273.88287,0.000246298
19273.88293,0.000247408
19273.88302,0.000248079
19273.88306,0.000250521
19273.88313,0.000251742
19273.88322,0.000252475
19273.88323,0.000255406
19273.88343,0.000255406
19273.88349,0.000255406
19273.88353,0.000255406
19273.88365,0.000255406
19273.88389,0.000255406
19273.88429,0.000255505
19273.88433,0.000255485
19273.88435,0.000255472
19273.88439,0.000255485
19273.88447,0.000255472
19273.88455,0.000255463
19273.88461,0.000255472
19273.88464,0.000255485
19273.88469,0.000255538
19273.8847,0.000255565
19273.8848,0.000255604
19273.88498,0.000255565
19273.88518,0.000255604
19273.88519,0.000255538
19273.88523,0.000255604
19273.88543,0.000255406
19273.88574,0.000255406
19273.88574,0.000255406
19273.88603,0.000255406
19273.88608,0.000255406
19273.88614,0.000255406
19273.88634,0.000255406
19273.88654,0
Time,Avg mutation rate c
19273.88252,0.153609741
19273.88252,0.15281648
19273.88252,0.15033081
19273.88252,0.152363833
19273.88276,0.15247737
19273.88277,0.150697895
19273.88279,0.14972728
19273.88285,0.145359469
19273.88291,0.145359469
19273.88306,0
Time,Avg mutation rate h
19273.88252,0.156652619
19273.88252,0.155582266
19273.88252,0.152829435
19273.88252,0.150246777
19273.88252,0.151680023
19273.88252,0.150702486
19273.88252,0.150387105
19273.88252,0.150412926
19273.88252,0.150913376
19273.88252,0.151599427
19273.88254,0.152242163
19273.88259,0.151907812
19273.8826,0.151229983
19273.88264,0.151640224
19273.88265,0.150763986
19273.88265,0.151142181
19273.88266,0.151905863
19273.88273,0.151687165
19273.88285,0.152090701
19273.88286,0.151903573
19273.88286,0.153247111
19273.88287,0.15368935
19273.88293,0.153524838
19273.88302,0.152552795
19273.88306,0.151899756
19273.88313,0.151573236
19273.88322,0.151377324
19273.88323,0.150593677
19273.88343,0.150593677
19273.88349,0.149887348
19273.88353,0.149651905
19273.88365,0.149887348
19273.88389,0.149651905
19273.88429,0.149181019
19273.88433,0.149463551
19273.88435,0.149651905
19273.88439,0.150028614
19273.88447,0.150122791
19273.88455,0.15019006
19273.88461,0.150122791
19273.88464,0.150028614
19273.88469,0.151006862
19273.8847,0.151089499
19273.8848,0.149774561
19273.88498,0.148549853
19273.88518,0.148038897
19273.88519,0.148129075
19273.88523,0.146896775
19273.88543,0.150593677
19273.88574,0.150593677
19273.88574,0.150593677
19273.88603,0.150593677
19273.88608,0.150593677
19273.88614,0.150593677
19273.88634,0.150593677
19273.88654,0
Time,Avg velocity c
19273.88252,1.009083451
19273.88252,1.003321721
19273.88252,0.999378105
19273.88252,1.001848072
19273.88276,1.003277432
19273.88277,1.000330792
19273.88279,0.997413239
19273.88285,0.991490872
19273.88291,0.991490872
19273.88306,0
Time,Avg velocity h
19273.88252,0.808018481
19273.88252,0.803122871
19273.88252,0.799401791
19273.88252,0.799538408
19273.88252,0.799060295
19273.88252,0.799395869
19273.88252,0.799393006
19273.88252,0.800520668
19273.88252,0.800353819
19273.88252,0.799580712
19273.88254,0.799414821
19273.88259,0.799464294
19273.8826,0.798242268
19273.88264,0.798240392
19273.88265,0.799042912
19273.88265,0.798987426
19273.88266,0.800392986
19273.88273,0.801729872
19273.88285,0.801229499
19273.88286,0.802127599
19273.88286,0.802438933
19273.88287,0.801443039
19273.88293,0.802086194
19273.88302,0.803320782
19273.88306,0.805018622
19273.88313,0.805867542
19273.88322,0.806376894
19273.88323,0.808414303
19273.88343,0.808414303
19273.88349,0.808414303
19273.88353,0.808414303
19273.88365,0.808414303
19273.88389,0.808414303
19273.88429,0.808414303
19273.88433,0.808414303
19273.88435,0.808414303
19273.88439,0.808414303
19273.88447,0.808414303
19273.88455,0.808414303
19273.88461,0.808414303
19273.88464,0.808414303
19273.88469,0.808414303
19273.8847,0.808414303
19273.8848,0.808414303
19273.88498,0.808414303
19273.88518,0.808414303
19273.88519,0.808414303
19273.88523,0.808414303
19273.88543,0.808414303
19273.88574,0.808414303
19273.88574,0.808414303
19273.88603,0.80596111
19273.88608,0.803507918
19273.88614,0.803507918
19273.88634,0.803507918
19273.88654,0
Time,Avg health c
19273.88252,103.7993733
19273.88252,101.7821703
19273.88252,101.3056358
19273.88252,101.7997473
19273.88276,102.4780073
19273.88277,101.9466472
19273.88279,101.3290719
19273.88285,100.3525669
19273.88291,100.3525669
19273.88306,0
Time,Avg health h
19273.88252,99.40656187
19273.88252,101.5896271
19273.88252,100.6078112
19273.88252,99.43690438
19273.88252,99.23512785
19273.88252,99.34229841
19273.88252,99.1739556
19273.88252,99.36284637
19273.88252,99.90961767
19273.88252,99.94838459
19273.88254,99.9561883
19273.88259,99.41523833
19273.8826,99.41647782
19273.88264,99.96100464
19273.88265,99.91296432
19273.88265,100.2044753
19273.88266,100.5165344
19273.88273,100.5446256
19273.88285,101.005778
19273.88286,100.5714885
19273.88286,101.2353892
19273.88287,101.327107
19273.88293,100.83799
19273.88302,101.440482
19273.88306,100.6630786
19273.88313,99.88017439
19273.88322,99.41043186
19273.88323,98.31986674
19273.88343,98.58266841
19273.88349,99.10827176
19273.88353,99.6338751
19273.88365,99.89667678
19273.88389,99.6338751
19273.88429,99.89667678
19273.88433,99.42363377
19273.88435,99.10827176
19273.88439,98.79290975
19273.88447,99.10827176
19273.88455,99.45186993
19273.88461,99.77193796
19273.88464,100.2200332
19273.88469,100.2975413
19273.8847,100.8507572
19273.8848,100.2955655
19273.88498,100.2176623
19273.88518,99.8937131
19273.88519,99.62992354
19273.88523,99.10234441
19273.88543,100.6850818
19273.88574,100.6850818
19273.88574,100.6850818
19273.88603,100.6850818
19273.88608,100.6850818
19273.88614,100.6850818
19273.88634,100.6850818
19273.88654,0
Time,Avg nutrition food c
19273.88252,19.15798884
19273.88252,19.18986468
19273.88252,19.15080794
19273.88252,19.59259109
19273.88276,19.71620795
19273.88277,19.55532958
19273.88279,19.68777649
19273.88285,19.07269447
19273.88291,19.07269447
19273.88306,0
Time,Avg nutrition food h
19273.88252,19.23453291
19273.88252,19.8907605
19273.88252,19.64225511
19273.88252,19.84321493
19273.88252,19.77917789
19273.88252,19.91758209
19273.88252,19.80966637
19273.88252,19.79026773
19273.88252,19.81851976
19273.88252,19.93193898
19273.88254,19.85664297
19273.88259,19.83315634
19273.8826,19.91867398
19273.88264,19.99721324
19273.88265,19.86071341
19273.88265,19.97713697
19273.88266,20.1435155
19273.88273,20.06200912
19273.88285,20.13129183
19273.88286,20.07169
19273.88286,20.01820366
19273.88287,20.07882473
19273.88293,19.98519206
19273.88302,20.10073265
19273.88306,19.95198084
19273.88313,19.87760493
19273.88322,19.83297939
19273.88323,19.65447721
19273.88343,19.65447721
19273.88349,19.65447721
19273.88353,19.65447721
19273.88365,19.65447721
19273.88389,19.65447721
19273.88429,19.65447721
19273.88433,19.65447721
19273.88435,19.65447721
19273.88439,19.65447721
19273.88447,19.65447721
19273.88455,19.65447721
19273.88461,19.65447721
19273.88464,19.65447721
19273.88469,19.65447721
19273.8847,19.65447721
19273.8848,19.65447721
19273.88498,19.65447721
19273.88518,19.65447721
19273.88519,19.65447721
19273.88523,19.65447721
19273.88543,19.65447721
19273.88574,19.65447721
19273.88574,19.65447721
19273.88603,19.65447721
19273.88608,19.65447721
19273.88614,19.65447721
19273.88634,19.65447721
19273.88654,0
Time,Avg nutrition poison h
19273.88252,80.35454987
19273.88252,80.15332112
19273.88252,80.11316853
19273.88252,79.92578252
19273.88252,80.07930501
19273.88252,79.92730328
19273.88252,79.97936048
19273.88252,79.9194355
19273.88252,79.83666383
19273.88252,79.7968222
19273.88254,79.86676971
19273.88259,79.95330461
19273.8826,79.89598386
19273.88264,79.90299742
19273.88265,79.96939027
19273.88265,79.91567136
19273.88266,79.89223296
19273.88273,79.82685425
19273.88285,79.8447454
19273.88286,79.80164731
19273.88286,79.864222
19273.88287,79.92493223
19273.88293,79.9195002
19273.88302,79.72602651
19273.88306,79.65067122
19273.88313,79.61299358
19273.88322,79.59038699
19273.88323,79.49996065
19273.88343,79.49996065
19273.88349,79.49996065
